
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 06월 25일~07월 25일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
동대문,408,07-13,      25.3,      29.4,      22.3,      17.6,,,,,,,       2.0
중랑,409,07-13,      25.4,      29.4,      22.5,      18.4,,,,,,,       2.3
기상청,410,07-13,      24.9,      28.7,      21.8,      16.0,,,,,,,       1.7
마포,411,07-13,      25.3,      29.2,      22.0,      15.5,,,,,,,       2.3
서대문,412,07-13,      24.2,      28.7,      21.0,      14.5,,,,,,,       1.4
광진,413,07-13,      25.3,      29.3,      22.2,      14.8,,,,,,,       1.8
성북,414,07-13,      24.5,      28.4,      21.5,      17.3,,,,,,,       1.8
용산,415,07-13,      25.6,      29.5,      22.5,      15.5,,,,,,,       2.1
은평,416,07-13,      24.4,      28.4,      21.1,      15.9,,,,,,,       1.8
금천,417,07-13,      25.0,      28.3,      22.2,      13.7,,,,,,,       2.3
중구,419,07-13,      23.7,      28.2,      20.7,      15.3,,,,,,,       1.8
성동,421,07-13,      25.2,      28.8,      22.4,      19.3,,,,,,,       2.3
구로,423,07-13,      24.8,      28.7,      21.6,      14.7,,,,,,,       2.3
강북*,424,07-13,      25.5,      29.4,      22.4,      19.5,,,,,,,       1.8
남현,425,07-13,      24.2,      28.1,      21.3,      14.5,,,,,,,       1.1
부천,433,07-13,      24.9,      28.3,      22.1,      15.2,,,,,,,       1.4
안양,434,07-13,      24.8,      28.1,      22.1,      17.3,,,,,,,       2.3
광명,437,07-13,      25.1,      28.5,      22.4,      15.6,,,,,,,       2.2
군포,438,07-13,      24.9,      28.4,      22.0,      17.7,,,,,,,       1.7
김포,441,07-13,      24.5,      28.0,      21.6,      16.6,,,,,,,       1.8
하남,444,07-13,      24.8,      28.7,      21.5,      17.5,,,,,,,       0.9
의왕,445,07-13,      24.1,      27.9,      21.0,      18.5,,,,,,,       1.1
포천,504,07-13,      24.5,      29.1,      20.6,      18.4,,,,,,,       1.5
가평조종,505,07-13,      22.9,      27.9,      19.3,      21.9,,,,,,,       1.1
영등포,510,07-13,      25.7,      29.4,      22.7,      15.0,,,,,,,       1.8
인천연수,512,07-13,      24.7,      28.6,      21.7,      13.2,,,,,,,       1.8
안성,516,07-13,      25.1,      29.4,      21.6,      11.5,,,,,,,       1.2
간성,517,07-13,      23.0,      26.5,      19.7,      13.2,,,,,,,       1.4
평창,526,07-13,      22.4,      27.1,      18.8,      15.0,,,,,,,       1.0
의정부,532,07-13,      24.3,      28.7,      20.6,      19.0,,,,,,,       1.0
횡성,536,07-13,      23.9,      28.9,      20.3,      18.7,,,,,,,       1.1
고양,540,07-13,      24.2,      29.0,      20.6,      16.0,,,,,,,       1.2
남양주,541,07-13,      24.1,      28.7,      20.4,      19.0,,,,,,,       1.1
안산,545,07-13,      24.4,      28.8,      20.6,      13.6,,,,,,,       1.6
경기광주,546,07-13,      24.2,      28.7,      20.8,      16.7,,,,,,,       1.6
여주,548,07-13,      24.4,      28.8,      20.7,      13.7,,,,,,,       1.1
용인,549,07-13,      24.3,      28.5,      20.6,      14.9,,,,,,,       1.4
오산,550,07-13,      24.8,      29.3,      21.3,      13.8,,,,,,,       1.3
평택,551,07-13,      25.3,      29.4,      21.8,      12.3,,,,,,,       1.7
화천,555,07-13,      23.4,      28.7,      19.5,      16.1,,,,,,,       0.8
양구,556,07-13,      22.8,      28.1,      19.1,      14.8,,,,,,,       1.0
시흥,565,07-13,      24.9,      28.5,      21.7,      13.8,,,,,,,       1.8
구리,569,07-13,      24.8,      29.2,      21.6,      17.5,,,,,,,       1.5
금곡,570,07-13,      23.7,      27.7,      20.6,      15.1,,,,,,,       1.4
화성,571,07-13,      24.3,      28.4,      21.2,      13.1,,,,,,,       1.5
성남,572,07-13,      25.2,      29.2,      21.9,      15.0,,,,,,,       1.3
과천,590,07-13,      24.7,      28.9,      21.3,      16.6,,,,,,,       2.0
진부령,595,07-13,      20.4,      24.1,      17.5,      15.3,,,,,,,       2.6
양주,598,07-13,      24.3,      28.8,      20.5,      15.4,,,,,,,       1.6
단양,601,07-13,      24.2,      29.2,      20.4,      11.2,,,,,,,       0.8
진천,602,07-13,      24.0,      28.5,      20.3,      11.9,,,,,,,       1.1
괴산,603,07-13,      24.1,      28.7,      20.4,      10.2,,,,,,,       1.1
옥천,604,07-13,      24.5,      29.1,      20.8,      11.3,,,,,,,       1.0
세종연서,611,07-13,      24.2,      28.7,      20.9,      11.4,,,,,,,       1.3
공주,612,07-13,      24.7,      29.2,      21.4,      10.9,,,,,,,       1.3
서천,614,07-13,      24.6,      28.3,      21.9,      10.5,,,,,,,       2.0
논산,615,07-13,      24.8,      29.1,      21.6,      10.4,,,,,,,       1.6
당진,616,07-13,      24.1,      28.2,      20.9,      12.0,,,,,,,       2.2
청양,618,07-13,      24.4,      28.4,      20.6,      12.8,,,,,,,       1.2
음성,619,07-13,      24.0,      28.9,      20.0,      11.8,,,,,,,       1.4
증평,623,07-13,      24.6,      29.3,      20.9,       9.5,,,,,,,       1.2
태안,627,07-13,      24.0,      27.7,      21.4,      11.0,,,,,,,       2.0
예산,628,07-13,      25.1,      29.3,      21.6,      10.6,,,,,,,       2.1
아산,634,07-13,      24.9,      29.2,      21.6,      11.2,,,,,,,       2.1
계룡,636,07-13,      24.1,      28.4,      20.6,      12.5,,,,,,,       1.1
오월드,642,07-13,      25.1,      29.7,      22.0,      10.9,,,,,,,       1.3
세천,643,07-13,      24.2,      29.1,      20.7,       9.7,,,,,,,       1.0
장동,648,07-13,      24.4,      29.0,      21.1,      10.4,,,,,,,       1.1
부평,649,07-13,      24.7,      29.0,      21.5,      12.1,,,,,,,       0.7
연천청산,652,07-13,      24.3,      28.9,      20.8,      15.2,,,,,,,       1.2
양양,670,07-13,      23.6,      27.1,      20.9,      13.2,,,,,,,       2.0
사북,674,07-13,      20.6,      24.1,      17.6,      12.5,,,,,,,       2.9
무안,699,07-13,      24.7,      28.5,      21.9,      14.7,,,,,,,       2.0
무주,701,07-13,      23.9,      29.0,      20.2,      10.5,,,,,,,       1.2
익산,702,07-13,      25.1,      29.2,      21.9,      11.8,,,,,,,       1.7
진안,703,07-13,      23.1,      27.2,      19.7,      12.8,,,,,,,       1.5
담양,706,07-13,      24.7,      28.4,      21.5,      15.6,,,,,,,       1.5
광산,708,07-13,      25.3,      29.3,      21.9,      15.5,,,,,,,       1.8
구례,709,07-13,      25.3,      29.8,      21.8,      17.1,,,,,,,       1.1
나주,710,07-13,      25.2,      29.4,      22.0,      15.2,,,,,,,       1.5
순천시,712,07-13,      24.8,      28.3,      22.4,      14.1,,,,,,,       1.5
광양읍,713,07-13,      25.0,      29.0,      22.1,      14.1,,,,,,,       1.0
조선대,722,07-13,      25.0,      28.8,      22.1,      14.5,,,,,,,       1.9
거문도,723,07-13,      24.2,      26.8,      22.2,       9.1,,,,,,,       3.2
추자도,724,07-13,      24.0,      26.3,      21.6,       8.5,,,,,,,       3.4
장성,730,07-13,      24.8,      29.0,      21.5,      14.0,,,,,,,       1.5
영암,731,07-13,      25.2,      28.9,      22.2,      13.4,,,,,,,       2.3
보성,732,07-13,      23.7,      27.3,      20.8,      13.6,,,,,,,       1.8
완주,734,07-13,      25.3,      29.7,      21.6,      12.5,,,,,,,       1.6
김제,737,07-13,      25.4,      29.5,      22.3,      12.3,,,,,,,       2.2
화순,741,07-13,      24.9,      29.4,      21.7,      15.3,,,,,,,       0.9
함평,754,07-13,      25.2,      29.1,      22.2,      15.4,,,,,,,       1.8
곡성,768,07-13,      24.7,      29.2,      21.5,      14.4,,,,,,,       1.2
성판악,782,07-13,      21.0,      23.9,      18.4,      22.1,,,,,,,       2.6
풍암,788,07-13,      25.7,      30.0,      22.7,      15.4,,,,,,,       1.4
압해도,789,07-13,      24.6,      28.0,      22.0,      10.7,,,,,,,       2.8
영양,801,07-13,      23.1,      27.6,      19.4,       7.7,,,,,,,       1.2
성주,810,07-13,      24.9,      29.3,      21.2,       8.7,,,,,,,       1.3
고령,812,07-13,      24.7,      28.9,      21.1,      11.7,,,,,,,       1.1
청도,813,07-13,      24.9,      29.2,      21.2,      10.2,,,,,,,       1.4
예천,815,07-13,      24.0,      28.9,      20.3,       9.5,,,,,,,       1.0
김천,822,07-13,      25.0,      29.8,      20.9,       8.6,,,,,,,       0.7
군위,823,07-13,      24.6,      29.6,      20.3,       7.0,,,,,,,       1.3
칠곡,825,07-13,      25.2,      29.7,      21.7,       9.2,,,,,,,       1.8
경산,827,07-13,      25.9,      30.3,      22.1,       8.6,,,,,,,       1.9
달성,828,07-13,      25.5,      29.8,      22.0,      10.5,,,,,,,       1.7
대구서구,846,07-13,      25.5,      30.1,      22.3,       8.2,,,,,,,       1.9
신암,860,07-13,      25.7,      29.9,      22.4,       8.7,      74.2,       3.5,       8.0,,    1000.9,    1007.7,       2.2
완산,864,07-13,      25.5,      29.7,      22.4,      13.5,      79.1,       3.1,       7.8,       3.4,    1000.5,    1006.6,       1.8
삼척,876,07-13,      23.4,      26.7,      20.5,      12.3,,,,,,,       1.7
울기,901,07-13,      22.0,      24.8,      19.9,      10.6,,,,,,,       2.9
삼천포,907,07-13,      24.4,      27.2,      22.1,      13.6,,,,,,,       1.8
영도,910,07-13,      22.6,      25.0,      20.7,      13.6,,,,,,,       4.0
고성,918,07-13,      24.9,      28.3,      22.3,      15.1,,,,,,,       2.4
창녕,919,07-13,      25.5,      29.8,      22.0,      10.3,,,,,,,       2.0
함안,920,07-13,      25.0,      29.5,      21.5,      12.5,,,,,,,       1.3
가덕도,921,07-13,      23.6,      26.6,      21.4,      12.5,,,,,,,       3.7
기장,923,07-13,      24.3,      27.7,      21.4,      14.8,,,,,,,       1.9
간절곶,924,07-13,      22.0,      24.6,      20.1,      12.3,,,,,,,       3.9
하동,932,07-13,      25.3,      29.3,      22.3,      17.9,,,,,,,       1.2
해운대,937,07-13,      23.9,      27.2,      21.5,      15.2,,,,,,,       2.5
부산진,938,07-13,      24.7,      28.3,      22.3,      16.0,,,,,,,       2.1
동래,940,07-13,      24.9,      28.5,      22.4,      15.3,,,,,,,       2.0
북구,941,07-13,      24.6,      28.0,      22.1,      12.5,,,,,,,       2.4
부산남구,942,07-13,      24.7,      27.8,      22.4,      15.2,,,,,,,       2.3
정자,949,07-13,      24.3,      28.4,      20.7,      11.5,,,,,,,       2.4
속초,90,07-14,      23.0,      26.3,      20.2,      10.1,      82.1,       4.2,,,    1004.2,    1006.3,       2.0
철원,95,07-14,      23.2,      27.3,      19.9,      16.7,      82.3,       4.1,,,     988.6,    1006.1,       2.0
동두천,98,07-14,      23.6,      28.0,      20.4,      19.3,      80.6,       3.7,,,     993.5,    1006.2,       1.6
파주,99,07-14,      23.5,      27.8,      20.4,      19.2,      85.2,       3.9,,,    1003.0,    1006.4,       1.6
대관령,100,07-14,      19.1,      22.5,      16.3,      15.0,      87.2,       3.6,,,     917.3,    1006.8,       3.2
춘천,101,07-14,      24.3,      28.4,      20.9,      19.3,      81.0,       4.0,,,     997.8,    1006.5,       1.2
백령도,102,07-14,      21.7,      24.8,      19.5,       9.1,      88.8,       3.8,       7.9,,     990.1,    1005.4,       4.3
강릉,105,07-14,      24.2,      27.6,      21.2,      11.4,      75.7,       4.0,,,    1003.7,    1006.7,       2.0
동해,106,07-14,      22.9,      26.3,      20.2,      11.1,      82.1,       4.0,,,    1001.9,    1006.2,       1.9
서울,108,07-14,      24.7,      28.3,      21.9,      19.2,      77.8,       3.4,       7.8,       3.5,     996.5,    1006.3,       2.4
인천,112,07-14,      23.8,      27.2,      21.4,      15.5,      84.8,       4.6,       7.6,       3.4,     998.2,    1006.1,       2.7
원주,114,07-14,      24.5,      28.8,      21.2,      17.5,      78.0,       3.4,,,     989.6,    1006.5,       1.1
울릉도,115,07-14,      22.1,      24.8,      20.0,       6.8,      85.7,       4.2,       7.7,       3.7,     982.1,    1007.3,       3.8
수원,119,07-14,      24.8,      28.7,      21.8,      15.8,      81.2,       3.9,       7.6,       3.7,    1002.6,    1006.6,       1.9
영월,121,07-14,      23.3,      28.1,      19.8,      14.2,      81.1,       3.4,,,     979.6,    1006.6,       1.3
충주,127,07-14,      24.4,      29.0,      21.0,      13.0,      76.1,       3.6,,,     995.6,    1006.7,       1.4
서산,129,07-14,      24.0,      27.7,      21.2,      13.0,      85.5,       4.1,,,    1003.6,    1006.5,       2.7
울진,130,07-14,      22.7,      26.3,      19.9,       7.7,      83.9,       4.6,,,    1001.1,    1006.8,       2.8
청주,131,07-14,      25.3,      29.4,      22.1,      11.9,      75.5,       3.8,       7.8,       3.9,    1000.1,    1006.6,       1.8
대전,133,07-14,      25.0,      28.9,      21.9,      10.9,      80.4,       4.0,       7.6,       3.6,     998.8,    1006.7,       2.0
추풍령,135,07-14,      23.4,      27.9,      20.0,      11.3,      80.8,       3.8,,,     979.3,    1007.0,       1.7
안동,136,07-14,      24.3,      28.7,      20.9,       9.3,      79.1,       4.0,       7.6,       4.2,     991.2,    1007.2,       1.4
상주,137,07-14,      24.5,      29.1,      21.1,       9.3,      80.9,       4.0,,,     996.0,    1007.0,       1.1
포항,138,07-14,      25.0,      28.6,      22.1,       6.5,      78.6,       4.6,       7.4,       4.1,    1007.1,    1007.5,       2.5
군산,140,07-14,      24.6,      28.1,      22.0,      10.5,      86.4,       4.1,,,    1003.6,    1006.7,       2.9
울산,152,07-14,      24.8,      28.6,      21.7,       8.1,      80.1,       4.2,       7.4,,    1002.7,    1007.4,       2.0
창원,155,07-14,      24.8,      28.1,      22.3,      13.0,      83.0,       3.5,       7.5,,    1004.8,    1007.3,       2.0
광주,156,07-14,      25.3,      29.3,      22.5,      14.0,      81.7,       3.8,       7.7,,     998.7,    1006.9,       2.5
부산,159,07-14,      23.9,      26.8,      21.8,      14.3,      85.5,       4.5,       7.4,       3.5,     999.7,    1007.6,       3.8
통영,162,07-14,      23.9,      26.9,      21.8,      12.5,      86.6,       4.0,,,    1004.3,    1008.0,       2.6
목포,165,07-14,      24.7,      27.8,      22.3,      10.4,      86.4,       4.3,       7.5,       3.6,    1002.3,    1007.1,       3.5
여수,168,07-14,      24.1,      26.6,      22.2,      11.3,      86.3,       4.4,       7.4,       4.1,     999.9,    1007.6,       3.6
흑산도,169,07-14,      22.4,      25.4,      20.3,       8.6,      93.8,       3.0,       8.1,,     997.3,    1006.3,       5.0
완도,170,07-14,      24.4,      28.0,      21.8,       8.4,      86.4,       4.1,,,    1003.8,    1007.3,       3.1
고창,172,07-14,      25.1,      29.1,      22.2,      10.9,      87.5,       4.5,,,    1001.0,    1006.9,       2.7
제주,184,07-14,      26.0,      29.1,      23.5,       5.4,      78.4,       5.7,       6.7,       4.9,    1004.7,    1007.2,       2.8
고산,185,07-14,      24.5,      27.1,      22.7,       5.2,      90.7,       5.2,,,     998.8,    1007.1,       5.4
성산,188,07-14,      24.8,      27.6,      22.5,       9.1,      86.9,       4.6,,,    1005.6,    1007.8,       2.8
서귀포,189,07-14,      25.4,      28.0,      23.6,       9.9,      88.3,       4.1,       7.9,       3.2,    1001.6,    1007.4,       2.3
진주,192,07-14,      24.8,      28.7,      21.8,      13.9,      81.7,       4.3,,,    1004.4,    1007.3,       1.6
강화,201,07-14,      23.2,      26.9,      20.2,      14.8,      83.5,       4.5,,,    1001.4,    1006.7,       2.1
양평,202,07-14,      24.4,      28.8,      20.9,      20.6,      80.4,       4.2,,,    1001.7,    1007.2,       1.2
이천,203,07-14,      24.2,      28.7,      20.8,      16.2,      78.5,       4.1,,,     997.9,    1006.5,       1.3
인제,211,07-14,      22.7,      27.2,      19.3,      15.2,      79.4,       4.1,,,     984.3,    1006.9,       1.9
홍천,212,07-14,      23.8,      28.8,      20.2,      20.7,      77.6,       4.1,,,     991.0,    1007.0,       1.1
태백,216,07-14,      20.8,      25.0,      17.4,      12.6,      79.6,       3.9,,,     927.8,    1006.3,       1.7
정선군,217,07-14,      22.7,      27.8,      19.3,      13.9,      80.7,       3.2,,,     972.5,    1007.0,       1.5
제천,221,07-14,      22.9,      27.7,      19.4,      17.4,      78.9,       3.9,,,     977.7,    1007.1,       1.4
보은,226,07-14,      23.6,      28.2,      20.1,      11.8,      77.4,       4.2,,,     987.0,    1006.6,       1.2
천안,232,07-14,      24.4,      28.8,      21.0,      13.0,      78.2,       4.4,,,    1002.7,    1006.5,       1.7
보령,235,07-14,      24.3,      27.7,      21.7,      10.1,      84.8,       4.2,,,    1004.6,    1006.7,       2.5
부여,236,07-14,      24.8,      28.9,      21.5,      10.5,      80.9,       4.2,,,    1005.5,    1007.0,       1.5
금산,238,07-14,      24.3,      29.0,      20.6,      12.5,      77.1,       4.3,,,     987.5,    1006.9,       1.2
부안,243,07-14,      24.8,      29.1,      21.7,      10.7,      81.5,       4.9,,,    1005.8,    1006.9,       1.8
임실,244,07-14,      23.7,      28.4,      20.4,      11.0,      80.6,       3.9,,,     979.4,    1007.1,       1.4
정읍,245,07-14,      25.4,      29.8,      22.1,      11.6,      77.9,       4.3,,,    1001.8,    1007.1,       1.3
남원,247,07-14,      24.6,      29.1,      21.2,      14.4,      80.5,       4.3,,,     995.8,    1007.2,       1.4
장수,248,07-14,      22.9,      27.1,      19.6,      14.1,      82.0,       3.7,,,     961.5,    1006.9,       1.8
영광군,252,07-14,      25.3,      29.4,      22.4,      10.8,      84.0,       4.7,,,    1002.6,    1006.8,       2.4
김해시,253,07-14,      25.6,      29.5,      22.7,      12.2,      80.6,       5.2,,,    1001.7,    1008.4,       2.1
순창군,254,07-14,      24.9,      29.3,      21.6,      16.3,      80.8,       4.8,,,     992.9,    1007.3,       1.6
양산시,257,07-14,      25.5,      29.6,      22.5,      12.5,      77.5,       4.5,,,    1007.1,    1008.8,       2.8
강진군,259,07-14,      24.9,      28.7,      22.0,      10.2,      84.4,       5.0,,,    1006.4,    1007.8,       2.2
장흥,260,07-14,      24.5,      28.3,      21.7,      11.4,      84.3,       3.9,,,    1002.4,    1007.3,       1.9
해남,261,07-14,      24.7,      28.5,      21.9,       9.8,      83.4,       4.8,,,    1005.4,    1007.4,       2.5
고흥,262,07-14,      24.4,      28.2,      21.5,       9.5,      81.2,       4.3,,,    1001.7,    1007.6,       1.6
의령군,263,07-14,      25.1,      29.7,      21.4,       8.7,      83.0,       4.5,,,    1005.5,    1007.1,       1.2
함양군,264,07-14,      24.7,      30.1,      20.8,      10.1,      84.8,       4.5,,,     990.1,    1007.2,       0.9
진도군,268,07-14,      25.0,      28.6,      22.2,       9.5,,,,,,,       2.2
봉화,271,07-14,      22.3,      27.1,      18.4,      13.1,      80.7,       3.6,,,     970.9,    1006.6,       1.1
영주,272,07-14,      23.5,      27.9,      20.0,      12.3,      78.6,       3.6,,,     983.3,    1006.7,       1.4
문경,273,07-14,      23.4,      27.9,      20.1,      12.3,      81.9,       3.7,,,     987.6,    1007.0,       1.1
청송군,276,07-14,      23.7,      29.1,      19.6,       6.5,      81.0,       4.6,,,     983.7,    1007.0,       1.0
영덕,277,07-14,      23.7,      28.2,      20.3,       7.0,      79.7,       4.9,,,    1003.3,    1008.0,       2.3
의성,278,07-14,      24.4,      29.6,      20.2,       8.8,      77.7,       4.0,,,     998.0,    1007.0,       1.0
구미,279,07-14,      24.9,      29.4,      21.2,       9.2,      78.5,       4.4,,,    1002.0,    1007.3,       1.1
영천,281,07-14,      24.5,      29.2,      20.8,       9.0,      76.0,       4.4,,,     997.0,    1007.6,       1.5
경주시,283,07-14,      25.1,      30.3,      21.2,       4.9,      78.0,       5.3,,,    1003.0,    1007.3,       2.1
경주시,283,07-14,      25.1,      30.3,      21.2,       4.9,      78.0,       5.3,,,    1003.0,    1007.3,       2.1
거창,284,07-14,      23.9,      28.8,      20.2,      11.0,      80.7,       4.7,,,     982.0,    1007.2,       1.2
합천,285,07-14,      24.9,      29.6,      21.3,      11.6,      75.3,       4.0,,,    1003.8,    1007.4,       1.4
밀양,288,07-14,      25.1,      29.5,      21.5,       9.1,      78.9,       4.0,,,    1006.4,    1007.8,       1.5
산청,289,07-14,      24.3,      28.7,      21.0,      13.7,      79.4,       4.4,,,     992.0,    1007.8,       1.3
거제,294,07-14,      24.4,      27.5,      22.0,      15.4,      81.2,       3.9,,,    1003.0,    1007.5,       2.0
남해,295,07-14,      24.8,      28.5,      22.0,      14.4,      80.9,       4.6,,,    1003.1,    1008.3,       1.4
강남,400,07-14,      25.3,      29.1,      22.4,      19.6,,,,,,,       1.7
서초,401,07-14,      25.6,      29.8,      22.4,      19.1,,,,,,,       1.3
강동,402,07-14,      25.0,      29.2,      21.9,      19.1,,,,,,,       1.6
송파,403,07-14,      25.5,      29.4,      22.5,      20.0,,,,,,,       1.8
강서,404,07-14,      24.6,      28.3,      21.8,      17.0,,,,,,,       2.1
양천,405,07-14,      25.6,      29.5,      22.7,      16.6,,,,,,,       1.6
도봉,406,07-14,      24.4,      28.8,      21.2,      22.4,,,,,,,       1.1
노원,407,07-14,      24.3,      28.7,      20.9,      22.8,,,,,,,       1.5
동대문,408,07-14,      25.3,      29.2,      22.4,      21.0,,,,,,,       2.0
중랑,409,07-14,      25.4,      29.2,      22.5,      21.9,,,,,,,       2.4
기상청,410,07-14,      24.8,      28.5,      21.8,      18.7,,,,,,,       1.7
마포,411,07-14,      25.2,      29.0,      22.0,      18.6,,,,,,,       2.3
서대문,412,07-14,      24.2,      28.5,      21.1,      18.2,,,,,,,       1.4
광진,413,07-14,      25.3,      29.2,      22.2,      18.4,,,,,,,       1.8
성북,414,07-14,      24.4,      28.2,      21.5,      20.2,,,,,,,       1.9
용산,415,07-14,      25.5,      29.3,      22.5,      17.8,,,,,,,       2.2
은평,416,07-14,      24.3,      28.3,      21.2,      18.7,,,,,,,       1.8
금천,417,07-14,      24.9,      28.2,      22.2,      17.0,,,,,,,       2.3
중구,419,07-14,      23.6,      28.1,      20.7,      15.0,,,,,,,       1.7
성동,421,07-14,      25.1,      28.6,      22.4,      23.0,,,,,,,       2.4
구로,423,07-14,      24.7,      28.6,      21.6,      19.7,,,,,,,       2.3
강북*,424,07-14,      25.4,      29.3,      22.4,      23.6,,,,,,,       1.8
남현,425,07-14,      24.0,      27.8,      21.1,      16.0,,,,,,,       1.1
부천,433,07-14,      24.8,      28.2,      22.1,      20.8,,,,,,,       1.4
안양,434,07-14,      24.7,      28.0,      22.1,      22.0,,,,,,,       2.3
광명,437,07-14,      25.0,      28.4,      22.3,      20.9,,,,,,,       2.2
군포,438,07-14,      24.8,      28.4,      22.0,      22.5,,,,,,,       1.7
김포,441,07-14,      24.2,      27.9,      21.4,      21.3,,,,,,,       1.8
하남,444,07-14,      24.5,      28.6,      21.5,      22.3,,,,,,,       0.9
의왕,445,07-14,      24.0,      27.8,      20.9,      23.7,,,,,,,       1.1
포천,504,07-14,      24.4,      28.9,      20.7,      20.1,,,,,,,       1.5
가평조종,505,07-14,      22.8,      27.8,      19.5,      23.5,,,,,,,       1.1
영등포,510,07-14,      25.6,      29.3,      22.7,      18.3,,,,,,,       1.8
인천연수,512,07-14,      24.6,      28.4,      21.7,      16.1,,,,,,,       1.8
안성,516,07-14,      25.2,      29.4,      21.6,      14.0,,,,,,,       1.2
간성,517,07-14,      23.2,      26.7,      19.9,      12.4,,,,,,,       1.4
평창,526,07-14,      22.4,      27.0,      18.8,      16.1,,,,,,,       1.0
의정부,532,07-14,      24.2,      28.5,      20.7,      20.5,,,,,,,       1.1
횡성,536,07-14,      23.9,      28.8,      20.3,      22.3,,,,,,,       1.1
고양,540,07-14,      24.1,      28.8,      20.7,      18.0,,,,,,,       1.2
남양주,541,07-14,      24.1,      28.5,      20.6,      20.9,,,,,,,       1.2
안산,545,07-14,      24.4,      28.8,      20.7,      15.7,,,,,,,       1.6
경기광주,546,07-14,      24.2,      28.5,      20.8,      20.7,,,,,,,       1.7
여주,548,07-14,      24.3,      28.7,      20.8,      16.1,,,,,,,       1.2
용인,549,07-14,      24.3,      28.4,      20.7,      17.5,,,,,,,       1.5
오산,550,07-14,      24.8,      29.2,      21.3,      15.4,,,,,,,       1.3
평택,551,07-14,      25.3,      29.5,      21.8,      15.1,,,,,,,       1.7
화천,555,07-14,      23.3,      28.6,      19.6,      17.4,,,,,,,       0.8
양구,556,07-14,      22.9,      28.0,      19.2,      15.3,,,,,,,       1.0
시흥,565,07-14,      24.8,      28.4,      21.7,      15.4,,,,,,,       1.9
구리,569,07-14,      24.7,      29.0,      21.6,      21.1,,,,,,,       1.5
금곡,570,07-14,      23.6,      27.5,      20.7,      17.5,,,,,,,       1.4
화성,571,07-14,      24.2,      28.3,      21.2,      15.5,,,,,,,       1.6
성남,572,07-14,      25.1,      29.1,      22.0,      18.7,,,,,,,       1.3
과천,590,07-14,      24.6,      28.8,      21.3,      19.6,,,,,,,       2.0
진부령,595,07-14,      20.5,      24.1,      17.7,      14.1,,,,,,,       2.7
양주,598,07-14,      24.2,      28.7,      20.6,      17.7,,,,,,,       1.6
단양,601,07-14,      24.2,      28.9,      20.4,      12.8,,,,,,,       0.9
진천,602,07-14,      24.1,      28.5,      20.3,      13.8,,,,,,,       1.1
괴산,603,07-14,      24.1,      28.5,      20.4,      12.6,,,,,,,       1.1
옥천,604,07-14,      24.6,      29.2,      20.8,      11.6,,,,,,,       1.1
세종연서,611,07-14,      24.3,      28.7,      21.0,      12.4,,,,,,,       1.3
공주,612,07-14,      24.8,      29.3,      21.5,      11.0,,,,,,,       1.4
서천,614,07-14,      24.8,      28.4,      22.0,       9.0,,,,,,,       2.1
논산,615,07-14,      24.9,      29.3,      21.6,       9.4,,,,,,,       1.6
당진,616,07-14,      24.2,      28.1,      21.0,      14.3,,,,,,,       2.3
청양,618,07-14,      24.5,      28.5,      20.7,      12.1,,,,,,,       1.2
음성,619,07-14,      24.0,      28.7,      20.1,      14.0,,,,,,,       1.4
증평,623,07-14,      24.6,      29.2,      21.0,      12.5,,,,,,,       1.2
태안,627,07-14,      24.0,      27.6,      21.4,      13.2,,,,,,,       2.0
예산,628,07-14,      25.2,      29.3,      21.6,      13.0,,,,,,,       2.2
아산,634,07-14,      24.9,      29.2,      21.6,      14.0,,,,,,,       2.1
계룡,636,07-14,      24.2,      28.5,      20.6,      11.8,,,,,,,       1.2
오월드,642,07-14,      25.3,      29.8,      22.1,      10.6,,,,,,,       1.3
세천,643,07-14,      24.3,      29.1,      20.7,       9.5,,,,,,,       1.0
장동,648,07-14,      24.5,      29.1,      21.1,      10.2,,,,,,,       1.1
부평,649,07-14,      24.6,      28.8,      21.4,      14.8,,,,,,,       0.7
연천청산,652,07-14,      24.3,      28.7,      20.9,      16.0,,,,,,,       1.2
양양,670,07-14,      23.8,      27.3,      20.9,      11.9,,,,,,,       1.9
사북,674,07-14,      20.3,      24.0,      17.3,      13.4,,,,,,,       2.8
무안,699,07-14,      24.9,      28.8,      22.1,      10.7,,,,,,,       2.0
무주,701,07-14,      24.0,      29.1,      20.1,       9.7,,,,,,,       1.2
익산,702,07-14,      25.3,      29.5,      22.0,       9.8,,,,,,,       1.7
진안,703,07-14,      23.2,      27.6,      19.7,      11.7,,,,,,,       1.5
담양,706,07-14,      24.9,      28.8,      21.5,      13.5,,,,,,,       1.5
광산,708,07-14,      25.5,      29.7,      22.0,      13.2,,,,,,,       1.8
구례,709,07-14,      25.5,      30.1,      21.9,      16.4,,,,,,,       1.1
나주,710,07-14,      25.4,      29.7,      22.1,      14.0,,,,,,,       1.5
순천시,712,07-14,      25.0,      28.6,      22.4,      12.8,,,,,,,       1.5
광양읍,713,07-14,      25.2,      29.3,      22.2,      14.0,,,,,,,       0.9
